,PREDICT
955,Yes
956,No
957,Yes
958,No
959,No
960,No
961,Yes
962,Yes
963,No
964,No
965,No
966,No
967,No
968,No
969,Yes
970,No
971,No
972,No
973,No
974,No
975,No
976,No
977,No
978,No
979,No
980,No
981,No
982,No
983,Yes
984,Yes
985,No
986,No
987,No
988,Yes
989,No
990,Yes
991,No
992,No
993,No
994,Yes
995,No
996,No
997,No
998,No
999,No
1000,No
1001,No
1002,No
1003,No
1004,No
1005,Yes
1006,No
1007,No
1008,Yes
1009,No
1010,Yes
1011,No
1012,No
1013,Yes
1014,No
1015,No
1016,No
1017,No
1018,No
1019,No
1020,No
1021,No
1022,No
1023,Yes
1024,Yes
1025,No
1026,No
1027,No
1028,No
1029,No
1030,No
1031,Yes
1032,Yes
1033,Yes
1034,No
1035,No
1036,Yes
1037,No
1038,Yes
1039,No
1040,Yes
1041,Yes
1042,No
1043,No
1044,Yes
1045,No
1046,No
1047,Yes
1048,No
1049,No
1050,No
1051,Yes
1052,Yes
1053,No
1054,No
1055,No
1056,No
1057,No
1058,Yes
1059,No
1060,No
1061,No
1062,No
1063,No
1064,No
1065,No
1066,No
1067,Yes
1068,No
1069,No
1070,Yes
1071,No
1072,Yes
1073,No
1074,No
1075,No
1076,No
1077,Yes
1078,No
1079,No
1080,No
1081,No
1082,No
1083,Yes
1084,No
1085,Yes
1086,No
1087,No
1088,No
1089,No
1090,No
1091,No
1092,No
1093,Yes
1094,No
1095,No
1096,Yes
1097,No
1098,No
1099,Yes
1100,No
1101,No
1102,No
1103,No
1104,No
1105,No
1106,Yes
1107,No
1108,No
1109,No
1110,No
1111,No
1112,Yes
1113,No
1114,No
1115,No
1116,No
1117,No
1118,Yes
1119,No
1120,No
1121,No
1122,No
1123,No
1124,Yes
1125,No
1126,No
1127,Yes
1128,No
1129,No
1130,No
1131,No
1132,No
1133,No
1134,Yes
1135,Yes
1136,No
1137,No
1138,Yes
1139,No
1140,Yes
1141,Yes
1142,No
1143,No
1144,Yes
1145,Yes
1146,No
1147,No
1148,No
1149,Yes
1150,No
1151,No
1152,No
1153,Yes
1154,Yes
1155,Yes
1156,No
1157,No
1158,Yes
1159,No
1160,No
1161,No
1162,No
1163,Yes
1164,Yes
1165,No
1166,No
1167,No
1168,Yes
1169,No
1170,Yes
1171,Yes
1172,Yes
1173,Yes
1174,Yes
1175,No
1176,No
1177,No
1178,Yes
1179,No
1180,No
1181,No
1182,No
1183,No
1184,No
1185,No
1186,No
1187,No
1188,No
1189,Yes
1190,No
1191,No
1192,Yes
1193,No
1194,Yes
1195,No
1196,No
1197,No
1198,No
1199,No
1200,No
1201,No
1202,No
1203,Yes
1204,Yes
1205,Yes
1206,No
1207,No
1208,No
1209,No
1210,No
1211,No
1212,No
1213,No
1214,Yes
1215,No
1216,No
1217,No
1218,No
1219,No
1220,No
1221,No
1222,Yes
1223,Yes
1224,Yes
1225,Yes
1226,Yes
1227,No
1228,No
1229,Yes
1230,No
1231,Yes
1232,No
1233,No
1234,No
1235,No
1236,No
1237,No
1238,No
1239,Yes
1240,Yes
1241,No
1242,Yes
1243,No
1244,No
1245,No
1246,No
1247,No
1248,Yes
1249,Yes
1250,Yes
1251,No
1252,Yes
1253,No
1254,Yes
1255,No
1256,No
1257,No
1258,No
1259,Yes
1260,Yes
1261,No
1262,No
1263,No
1264,No
1265,No
1266,Yes
1267,No
1268,Yes
1269,No
1270,No
1271,Yes
1272,No
1273,Yes
1274,No
1275,Yes
1276,No
1277,No
1278,Yes
1279,Yes
1280,No
1281,No
1282,Yes
1283,No
1284,Yes
1285,No
1286,Yes
1287,No
1288,No
1289,No
1290,No
1291,No
1292,No
1293,No
1294,No
1295,No
1296,Yes
1297,Yes
1298,No
1299,No
1300,No
1301,No
1302,No
1303,No
1304,No
1305,No
1306,No
1307,No
1308,No
1309,Yes
1310,No
1311,No
1312,Yes
1313,No
1314,No
1315,No
1316,No
1317,No
1318,No
1319,No
1320,No
1321,Yes
1322,Yes
1323,No
1324,No
1325,No
1326,No
1327,Yes
1328,Yes
1329,Yes
1330,No
1331,No
1332,No
1333,Yes
1334,No
1335,No
1336,Yes
1337,Yes
1338,No
1339,No
1340,No
1341,No
1342,No
1343,Yes
1344,No
1345,No
1346,No
1347,Yes
1348,No
1349,Yes
1350,No
1351,Yes
1352,No
1353,Yes
1354,No
1355,Yes
1356,No
1357,No
1358,No
1359,Yes
1360,No
1361,Yes
1362,No
1363,No
1364,No
1365,No
1366,No
1367,Yes
1368,No
1369,Yes
1370,No
1371,No
1372,No
1373,No
1374,Yes
1375,Yes
1376,No
1377,No
1378,Yes
1379,No
1380,No
1381,No
1382,No
1383,No
1384,No
1385,No
1386,No
1387,No
1388,Yes
1389,No
1390,No
1391,Yes
1392,Yes
1393,No
1394,No
1395,No
1396,No
1397,Yes
1398,No
1399,No
1400,No
1401,No
1402,No
1403,No
1404,No
1405,No
1406,No
1407,No
1408,No
1409,No
1410,No
1411,Yes
1412,No
1413,Yes
1414,Yes
1415,Yes
1416,No
1417,Yes
1418,No
1419,No
1420,No
1421,No
1422,No
1423,No
1424,Yes
1425,No
1426,No
1427,No
1428,Yes
1429,No
1430,Yes
1431,No
1432,No
1433,No
1434,Yes
1435,Yes
1436,No
1437,Yes
1438,No
1439,No
1440,Yes
1441,Yes
1442,No
1443,No
1444,No
1445,No
1446,No
1447,No
1448,No
1449,No
1450,No
1451,Yes
1452,Yes
1453,Yes
1454,Yes
1455,No
1456,No
1457,Yes
1458,Yes
1459,Yes
1460,No
1461,No
1462,Yes
1463,Yes
1464,No
1465,No
1466,No
1467,No
1468,No
1469,No
1470,No
1471,No
1472,No
1473,No
1474,No
1475,No
1476,No
1477,No
1478,No
1479,No
1480,No
1481,No
1482,Yes
1483,No
1484,No
1485,No
1486,No
1487,No
1488,Yes
1489,No
1490,No
1491,No
1492,No
1493,No
1494,Yes
1495,No
1496,No
1497,Yes
1498,Yes
1499,No
1500,No
1501,No
1502,Yes
1503,Yes
1504,No
1505,Yes
1506,No
1507,No
1508,Yes
1509,No
1510,Yes
1511,No
1512,Yes
1513,No
1514,No
1515,No
1516,No
1517,No
1518,No
1519,No
1520,No
1521,Yes
1522,No
1523,No
1524,Yes
1525,No
1526,Yes
1527,No
1528,No
1529,No
1530,No
1531,No
1532,Yes
1533,Yes
1534,Yes
1535,No
1536,No
1537,No
1538,Yes
1539,No
1540,No
1541,No
1542,No
1543,No
1544,No
1545,No
1546,No
1547,No
1548,No
1549,No
1550,No
1551,No
1552,No
1553,Yes
1554,No
1555,No
1556,No
1557,No
1558,Yes
1559,No
1560,Yes
1561,No
1562,No
1563,Yes
1564,No
1565,Yes
1566,No
1567,Yes
1568,Yes
1569,Yes
1570,No
1571,Yes
1572,No
1573,No
1574,No
1575,No
1576,No
1577,Yes
1578,No
1579,No
1580,No
1581,Yes
1582,No
1583,No
1584,Yes
1585,No
1586,No
1587,Yes
1588,No
1589,No
1590,Yes
1591,No
1592,No
1593,No
1594,No
1595,Yes
1596,No
1597,No
1598,No
1599,No
1600,No
1601,Yes
1602,Yes
1603,No
1604,Yes
1605,No
1606,No
1607,No
1608,No
1609,No
1610,No
1611,No
1612,No
1613,Yes
1614,No
1615,Yes
1616,No
1617,Yes
1618,No
1619,No
1620,No
1621,No
1622,No
1623,Yes
1624,No
1625,Yes
1626,No
1627,Yes
1628,No
1629,No
1630,Yes
1631,No
1632,No
1633,No
1634,No
1635,Yes
1636,No
1637,No
1638,No
1639,No
1640,No
1641,No
1642,No
1643,No
1644,No
1645,No
1646,No
1647,Yes
1648,Yes
1649,No
1650,No
1651,Yes
1652,No
1653,No
1654,Yes
1655,No
1656,Yes
1657,No
1658,No
1659,No
1660,No
1661,No
1662,No
1663,No
1664,No
1665,Yes
1666,No
1667,No
1668,Yes
1669,Yes
1670,No
1671,No
1672,No
1673,Yes
1674,No
1675,No
1676,Yes
1677,No
1678,No
1679,No
1680,No
1681,Yes
1682,No
1683,Yes
1684,No
1685,No
1686,No
1687,Yes
1688,Yes
1689,Yes
1690,No
1691,Yes
1692,No
1693,No
1694,No
1695,Yes
1696,Yes
1697,No
1698,No
1699,No
1700,No
1701,No
1702,No
1703,No
1704,Yes
1705,No
1706,No
1707,Yes
1708,No
1709,No
1710,No
1711,No
1712,Yes
1713,No
1714,No
1715,No
1716,No
1717,No
1718,No
1719,No
1720,Yes
1721,Yes
1722,No
1723,No
1724,No
1725,Yes
1726,No
1727,No
1728,No
1729,Yes
1730,No
1731,No
1732,Yes
1733,Yes
1734,No
1735,No
1736,No
1737,No
1738,No
1739,No
1740,No
1741,No
1742,No
1743,No
1744,No
1745,Yes
1746,No
1747,No
1748,No
1749,Yes
1750,Yes
1751,No
1752,Yes
1753,No
1754,No
1755,No
1756,No
1757,No
1758,No
1759,No
1760,No
1761,Yes
1762,Yes
1763,Yes
1764,No
1765,No
1766,No
1767,Yes
1768,No
1769,Yes
1770,No
1771,No
1772,No
1773,No
1774,Yes
1775,No
1776,No
1777,No
1778,No
1779,Yes
1780,Yes
1781,No
1782,No
1783,No
1784,No
1785,No
1786,Yes
1787,Yes
1788,No
1789,Yes
1790,No
1791,Yes
1792,No
1793,No
1794,Yes
1795,No
1796,Yes
1797,No
1798,No
1799,No
1800,No
1801,No
1802,Yes
1803,Yes
1804,Yes
1805,No
1806,No
1807,No
1808,No
1809,No
1810,Yes
1811,No
1812,Yes
1813,Yes
1814,Yes
1815,No
1816,Yes
1817,No
1818,No
1819,No
1820,No
1821,No
1822,No
1823,Yes
1824,Yes
1825,No
1826,No
1827,No
1828,Yes
1829,Yes
1830,No
1831,No
1832,Yes
1833,Yes
1834,Yes
1835,No
1836,No
1837,Yes
1838,No
1839,Yes
1840,No
1841,Yes
1842,No
1843,No
1844,No
1845,No
1846,Yes
1847,No
1848,No
1849,Yes
1850,No
1851,No
1852,No
1853,Yes
1854,No
1855,No
1856,No
1857,No
1858,Yes
1859,Yes
1860,No
1861,No
1862,No
1863,No
1864,No
1865,No
1866,No
1867,Yes
1868,No
1869,No
1870,No
1871,No
1872,No
1873,No
1874,Yes
1875,Yes
1876,No
1877,Yes
1878,Yes
1879,No
1880,No
1881,Yes
1882,No
1883,No
1884,No
1885,No
1886,No
1887,Yes
1888,No
1889,Yes
1890,No
1891,No
1892,Yes
1893,No
1894,No
1895,No
1896,No
1897,Yes
1898,No
1899,No
1900,No
1901,No
1902,No
1903,Yes
1904,No
1905,Yes
1906,No
1907,No
1908,No
1909,Yes
1910,No
1911,Yes
1912,No
1913,Yes
1914,Yes
1915,Yes
1916,No
1917,No
1918,No
1919,Yes
1920,No
1921,No
1922,Yes
1923,No
1924,No
1925,No
1926,No
1927,No
1928,Yes
1929,No
1930,Yes
1931,No
1932,No
1933,No
1934,No
1935,No
1936,No
1937,No
1938,No
1939,Yes
1940,No
1941,No
1942,No
1943,No
1944,Yes
1945,Yes
1946,No
1947,Yes
1948,No
1949,No
1950,No
1951,Yes
1952,Yes
1953,Yes
1954,No
1955,No
1956,No
1957,No
1958,No
1959,No
1960,No
1961,Yes
1962,No
1963,No
1964,Yes
1965,No
1966,No
1967,Yes
1968,No
1969,No
1970,No
1971,No
1972,Yes
1973,No
1974,Yes
1975,No
1976,No
1977,No
1978,Yes
1979,No
1980,No
1981,No
1982,No
1983,No
1984,No
1985,Yes
1986,Yes
1987,No
1988,No
1989,Yes
1990,No
1991,Yes
1992,No
1993,No
1994,No
1995,No
1996,No
1997,No
1998,No
1999,No
2000,No
2001,No
2002,No
2003,Yes
2004,Yes
2005,Yes
2006,No
2007,No
2008,Yes
2009,Yes
2010,No
2011,No
2012,No
2013,No
2014,Yes
2015,Yes
2016,No
2017,No
2018,No
2019,No
2020,Yes
2021,No
2022,No
2023,Yes
2024,No
2025,No
2026,No
2027,No
2028,No
2029,No
2030,No
2031,No
2032,No
2033,Yes
2034,Yes
2035,No
2036,No
2037,No
2038,No
2039,No
2040,Yes
2041,Yes
2042,No
2043,No
2044,No
2045,No
2046,No
2047,No
2048,Yes
2049,No
2050,No
2051,No
2052,Yes
2053,Yes
2054,No
2055,No
2056,No
2057,No
2058,Yes
2059,No
2060,No
2061,No
2062,Yes
2063,No
2064,No
2065,Yes
2066,No
2067,No
2068,No
2069,No
2070,No
2071,No
2072,Yes
2073,No
2074,No
2075,Yes
2076,No
2077,No
2078,Yes
2079,Yes
2080,No
2081,No
2082,No
2083,No
2084,No
2085,No
2086,No
2087,No
2088,No
2089,No
2090,No
2091,No
2092,No
2093,Yes
2094,No
2095,No
2096,No
2097,Yes
2098,No
2099,No
2100,Yes
2101,No
2102,No
2103,No
2104,No
2105,Yes
2106,No
2107,Yes
2108,No
2109,No
2110,No
2111,No
2112,No
2113,Yes
2114,No
2115,No
2116,No
2117,No
2118,No
2119,No
2120,Yes
2121,Yes
2122,Yes
2123,No
2124,No
2125,No
2126,No
2127,No
2128,No
2129,No
2130,No
2131,No
2132,No
2133,Yes
2134,No
2135,No
2136,Yes
2137,No
2138,Yes
2139,No
2140,No
2141,No
2142,Yes
2143,Yes
2144,No
2145,No
2146,No
2147,No
2148,No
2149,Yes
2150,Yes
2151,No
2152,No
2153,No
2154,No
2155,No
2156,No
2157,Yes
2158,No
2159,No
2160,No
2161,Yes
2162,No
2163,Yes
2164,No
2165,No
2166,Yes
2167,No
2168,No
2169,Yes
2170,No
2171,No
2172,No
2173,Yes
2174,No
2175,Yes
2176,Yes
2177,No
2178,No
2179,No
2180,Yes
2181,No
2182,No
2183,No
2184,Yes
2185,No
2186,No
2187,No
2188,No
2189,Yes
2190,No
2191,No
2192,No
2193,No
2194,No
2195,No
2196,Yes
2197,No
2198,No
2199,No
2200,No
2201,No
2202,No
2203,No
2204,No
2205,No
2206,No
2207,No
2208,No
2209,Yes
2210,No
2211,No
2212,No
2213,No
2214,Yes
2215,No
2216,No
2217,No
2218,No
2219,Yes
2220,No
2221,Yes
2222,No
2223,Yes
2224,No
2225,No
2226,Yes
2227,No
2228,Yes
2229,No
2230,Yes
2231,Yes
2232,No
2233,No
2234,Yes
2235,Yes
2236,No
2237,No
2238,Yes
2239,No
2240,No
2241,No
2242,No
2243,No
2244,No
2245,No
2246,No
2247,No
2248,No
2249,No
2250,No
2251,No
2252,Yes
2253,No
2254,No
2255,Yes
2256,Yes
2257,Yes
2258,No
2259,No
2260,No
2261,No
2262,No
2263,No
2264,No
2265,No
2266,No
2267,No
2268,No
2269,Yes
2270,No
2271,No
2272,No
2273,No
2274,Yes
2275,No
2276,No
2277,No
2278,No
2279,No
2280,No
2281,No
2282,No
2283,No
2284,No
2285,No
2286,No
2287,No
2288,No
2289,No
2290,Yes
2291,No
2292,No
2293,No
2294,Yes
2295,No
2296,No
2297,No
2298,Yes
2299,No
2300,Yes
2301,Yes
2302,No
2303,Yes
2304,Yes
2305,No
2306,No
2307,No
2308,No
2309,No
2310,No
2311,No
2312,No
2313,No
2314,Yes
2315,Yes
2316,Yes
2317,No
2318,No
2319,No
2320,No
2321,Yes
2322,No
2323,Yes
2324,No
2325,Yes
2326,No
2327,No
2328,No
2329,Yes
2330,Yes
2331,Yes
2332,No
2333,No
2334,No
2335,No
2336,No
2337,No
2338,No
2339,Yes
2340,Yes
2341,Yes
2342,No
2343,No
2344,No
2345,No
2346,Yes
2347,No
2348,No
2349,Yes
2350,Yes
2351,Yes
2352,Yes
2353,No
2354,No
2355,No
2356,No
2357,Yes
2358,No
2359,No
2360,No
2361,No
2362,No
2363,No
2364,No
2365,No
2366,No
2367,No
2368,No
2369,No
2370,No
2371,Yes
2372,No
2373,No
2374,No
2375,Yes
2376,No
2377,No
2378,No
2379,No
2380,No
2381,Yes
2382,Yes
2383,No
2384,No
2385,No
2386,No
2387,No
2388,Yes
2389,No
2390,No
2391,No
2392,Yes
2393,Yes
2394,No
2395,No
2396,No
2397,No
2398,No
2399,No
2400,No
2401,No
2402,No
2403,No
2404,No
