,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
33,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,2151.6
34,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,112.75
35,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55
36,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,62.9
37,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1723.95
38,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35
39,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65
40,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1
41,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25
42,1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,1170.55
43,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1756.2
44,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65
45,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,113.5
46,1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,419.9
47,1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,251.6
48,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3958.25
49,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,6254.45
50,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,321.4
51,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3539.25
52,0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8
53,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,1181.75
54,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7
55,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,1252.0
56,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2453.3
57,0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,244.8
58,0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,8129.3
59,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,1192.7
60,1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,587.4
61,1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,6519.75
62,0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,1112.3
63,1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,1033.95
64,0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2684.85
65,1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,4179.2
66,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,79.9
67,1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,6654.1
68,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,25.25
69,0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,540.05
70,1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1975.85
71,0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,3437.45
72,0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,624.6
73,0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,219.35
74,1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,1288.75
75,0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,6350.5
76,0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,94.4,6126.15
77,1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,273.4
78,1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,2531.8
79,1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3
80,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,147.15
81,1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,2633.3
82,0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,59.55,4103.9
83,1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,5791.1
84,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,80.55
85,1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,89.85,4925.35
86,0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,0,3,88.1,5526.75
87,1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6
88,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,24.25,1732.95
89,1,1,1,0,21,1,0,0,2,2,0,0,0,2,0,1,0,64.95,1339.8
90,0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,3,25.4,25.4
91,1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95
92,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,435.4
93,1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1712.7
94,1,0,1,1,23,1,0,1,0,2,2,2,0,0,1,0,3,86.8,1940.8
95,0,1,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,89.35,567.8
96,1,0,1,1,40,1,2,0,0,0,2,0,2,2,0,1,2,74.55,3015.75
97,1,0,0,0,23,1,0,0,0,0,0,0,2,2,1,1,0,64.9,1509.8
98,1,0,0,0,4,1,0,1,0,0,2,2,0,2,0,1,2,90.4,356.65
99,1,0,0,1,38,1,2,1,0,2,0,0,0,0,0,1,3,81.85,3141.7
100,1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,24.8,1229.1
101,1,0,1,1,29,1,0,0,0,0,2,2,2,2,2,0,3,75.55,2054.4
102,1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,415.55
103,1,0,1,1,51,1,2,1,2,2,0,2,2,2,1,0,1,110.05,5686.4
104,1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,2231.05
105,1,0,0,0,69,0,1,0,2,2,0,2,2,2,2,1,0,60.05,4176.7
106,0,1,1,0,11,1,0,1,0,0,0,2,2,0,0,1,2,82.9,880.05
107,0,1,1,1,28,0,1,0,0,0,0,0,2,0,0,1,2,35.9,973.65
108,1,0,0,0,46,1,2,1,0,2,2,0,2,0,1,1,1,94.9,4422.95
109,0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,73.85,511.25
110,0,0,0,0,43,1,2,1,0,2,2,0,2,2,2,1,2,104.6,4759.85
111,0,1,1,0,64,1,0,1,2,2,2,0,0,2,1,0,0,97.0,6430.9
112,1,0,0,1,17,1,0,0,0,0,0,0,0,0,1,0,3,44.6,681.4
113,0,1,0,0,7,1,0,1,0,0,0,0,2,2,0,1,2,89.15,574.35
114,0,0,0,0,10,1,0,1,0,0,0,0,0,2,0,1,0,80.25,846.0
115,1,0,1,0,64,1,2,1,0,2,0,2,2,2,2,1,2,105.25,6823.4
116,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.15,19.15
117,1,0,1,0,71,1,2,1,0,0,2,0,2,2,1,1,1,98.65,6962.85
118,1,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,1,112.6,8126.65
119,0,0,0,0,61,1,2,0,2,2,2,2,2,2,2,0,2,89.65,5308.7
120,1,1,1,1,72,0,1,0,2,2,2,2,2,2,2,1,0,64.8,4732.35
121,0,0,0,0,42,0,1,0,2,2,2,2,0,2,1,1,2,54.75,2348.45
122,0,0,0,0,27,1,2,1,0,0,0,0,2,2,0,1,0,95.6,2595.25
123,1,1,1,0,27,1,2,0,0,2,2,2,2,2,0,1,0,84.8,2309.55
124,0,0,0,0,19,1,0,2,1,1,1,1,1,1,0,0,3,19.9,367.55
125,0,0,1,1,23,1,0,2,1,1,1,1,1,1,1,0,3,20.05,415.1
126,1,0,1,1,69,1,2,1,0,0,2,0,2,2,0,1,1,99.45,7007.6
127,0,0,1,0,68,1,0,0,2,0,0,2,0,0,1,0,0,55.9,3848.8
128,1,1,1,1,32,1,0,1,0,2,0,0,2,2,0,1,3,93.95,2861.45
129,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9,19.9
130,0,0,1,1,16,1,0,1,0,2,0,0,0,0,0,0,0,73.25,1195.75
131,1,0,1,0,70,1,2,1,0,2,2,2,0,2,2,1,0,98.7,6858.9
132,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,75.3,75.3
133,0,0,1,1,5,1,2,2,1,1,1,1,1,1,0,1,3,24.3,132.25
134,0,1,1,0,55,1,2,0,0,0,0,0,0,0,0,0,0,51.65,2838.55
135,0,0,1,1,61,1,0,2,1,1,1,1,1,1,0,1,3,19.4,1182.55
136,1,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,1,114.05,8468.2
137,1,0,1,0,35,1,2,1,0,0,0,2,0,2,0,1,0,89.85,3161.2
138,0,1,0,0,49,1,2,1,2,0,0,0,2,2,0,0,1,101.55,5070.4
139,0,0,0,1,18,1,2,0,2,0,0,0,0,2,0,0,2,64.8,1166.7
140,0,0,1,0,36,1,0,1,0,0,0,0,0,2,0,0,2,80.4,2937.65
141,0,0,1,0,61,1,2,2,1,1,1,1,1,1,2,0,3,24.4,1417.9
142,1,0,1,1,4,1,2,1,0,0,2,0,2,2,0,0,2,101.15,385.9
143,1,1,1,0,72,1,2,1,2,2,2,2,2,2,2,1,0,116.05,8404.9
144,1,0,1,1,72,1,2,1,0,2,0,0,2,0,1,1,2,89.7,6588.95
145,0,0,0,1,44,1,0,2,1,1,1,1,1,1,2,0,3,19.9,868.1
146,0,0,0,1,15,1,0,1,0,0,0,0,0,0,0,0,0,69.0,994.8
147,0,0,1,0,72,1,2,1,0,2,2,2,2,2,1,1,0,108.5,8003.8
148,1,0,1,1,72,1,2,1,0,0,0,0,0,2,2,1,1,84.5,6130.85
149,1,1,1,0,61,1,2,0,0,2,0,0,0,2,1,0,0,64.05,3902.6
150,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.4,20.4
151,1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,43.75,903.6
152,0,1,0,0,5,0,1,0,0,2,0,0,0,0,0,0,2,28.45,131.05
153,1,0,0,1,69,1,2,0,2,2,2,2,2,0,2,1,1,79.45,5502.55
154,0,1,0,0,20,1,2,1,0,2,2,0,0,2,0,1,2,94.1,1782.4
155,1,0,0,1,11,1,2,1,0,0,2,0,0,0,0,1,3,78.0,851.8
156,1,0,1,0,2,1,0,1,0,0,0,2,2,2,0,1,2,94.2,167.5
157,0,1,1,0,5,1,2,1,0,0,0,0,0,0,0,1,2,74.35,334.8
158,0,0,0,0,28,1,0,0,2,0,0,2,0,0,1,0,3,54.3,1546.3
159,0,1,1,0,5,1,0,1,0,0,0,0,0,0,0,0,2,70.05,302.6
160,0,1,1,0,27,1,0,1,2,0,0,0,0,0,0,1,0,75.2,1929.35
161,1,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,1,20.05,265.45
162,0,0,1,1,33,1,0,0,2,2,2,0,0,0,1,1,3,58.45,1955.4
163,0,0,0,0,11,1,2,0,0,0,0,0,0,2,0,1,3,58.95,601.6
164,1,0,0,0,15,1,0,2,1,1,1,1,1,1,0,0,3,19.75,311.6
165,1,0,1,1,72,1,2,1,2,2,2,0,2,2,2,1,0,110.3,7966.9
166,0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,0,115.6,8220.4
167,0,0,1,1,23,1,2,2,1,1,1,1,1,1,2,1,1,25.6,514.75
168,1,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,2,70.2,760.05
169,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,49.3,49.3
170,1,0,1,0,56,1,2,1,0,2,0,2,2,2,1,1,2,107.25,6033.3
171,1,0,1,0,71,1,2,0,2,2,0,2,2,0,2,0,1,73.5,5357.75
172,0,0,1,1,60,1,0,2,1,1,1,1,1,1,2,1,1,19.25,1103.25
173,0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,89.2,346.2
174,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,1,3,19.0,19.0
175,0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,1,3,20.0,61.7
176,0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,85.7,85.7
177,1,0,1,1,5,1,0,2,1,1,1,1,1,1,1,0,3,20.1,85.1
178,1,0,1,1,71,1,2,0,2,2,2,2,2,2,2,0,2,90.4,6668.05
179,1,0,1,1,63,1,2,0,2,2,2,0,2,2,2,0,1,83.5,5435.0
180,0,0,0,0,12,1,2,0,2,0,2,2,0,0,0,1,3,61.65,713.75
181,1,0,0,0,16,0,1,0,2,2,2,2,2,0,2,0,3,54.85,916.15
182,1,0,0,0,2,1,0,2,1,1,1,1,1,1,1,0,3,19.95,47.7
183,1,0,0,0,46,1,2,1,0,2,2,2,2,2,2,0,2,108.65,4903.2
184,1,0,1,1,38,1,0,0,2,0,2,2,2,2,2,0,1,81.0,3084.9
185,1,0,1,1,72,1,2,1,2,2,2,2,2,2,2,0,0,114.55,8306.05
186,1,0,1,1,9,0,1,0,0,2,0,0,0,0,0,1,2,29.95,248.95
187,0,0,1,1,9,1,0,0,2,2,2,2,0,0,0,0,3,65.0,663.05
188,1,0,0,0,50,1,2,0,0,0,2,2,0,2,2,0,0,69.5,3418.2
189,0,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,3,48.85,631.4
190,0,0,0,0,57,1,2,1,2,2,0,2,0,0,0,1,0,87.55,4884.85
191,0,0,0,0,7,1,2,1,0,2,0,0,0,0,0,1,0,78.55,522.95
192,0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,0,20.0,137.6
193,0,0,1,0,25,1,0,1,0,0,0,2,2,2,0,1,2,95.15,2395.7
194,0,1,0,0,72,1,2,1,0,2,2,2,2,2,2,0,2,111.65,7943.45
195,1,1,1,0,49,1,2,1,0,2,0,0,0,2,0,0,1,90.05,4547.25
196,1,0,0,0,10,1,0,2,1,1,1,1,1,1,1,0,3,20.35,176.3
197,0,0,1,1,65,1,2,1,0,2,2,0,2,2,0,1,2,105.5,6985.65
198,1,0,0,0,31,1,0,1,0,0,2,2,2,2,2,0,0,99.45,3109.9
199,1,1,1,1,56,1,2,1,2,0,2,0,2,2,1,1,0,104.55,5794.65
200,1,0,1,1,68,1,2,2,1,1,1,1,1,1,2,0,0,25.4,1620.2
201,0,0,1,1,15,1,2,2,1,1,1,1,1,1,0,1,2,25.25,394.85
202,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,45.7
203,0,1,0,0,2,1,2,1,0,2,0,0,0,2,0,0,2,89.5,161.5
204,0,1,0,0,8,1,0,2,1,1,1,1,1,1,0,0,2,19.65,164.3
205,1,0,0,0,10,1,0,1,0,0,0,2,2,2,0,1,1,95.1,865.1
206,1,0,1,0,45,1,0,0,2,2,2,0,2,2,1,0,0,78.8,3597.5
207,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,3,24.25,96.05
208,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.05,20.05
209,0,0,0,0,3,1,0,1,0,0,2,0,0,0,0,1,3,74.75,238.1
210,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,45.65,191.05
211,0,0,1,0,70,0,1,0,0,2,2,2,2,2,2,0,0,57.8,4039.3
212,0,0,1,1,53,1,0,2,1,1,1,1,1,1,1,1,0,19.85,1039.45
213,1,0,1,1,53,1,2,2,1,1,1,1,1,1,2,0,1,25.55,1336.1
214,1,0,0,0,3,1,2,1,0,2,2,0,2,2,0,0,3,107.95,313.6
215,1,0,0,0,51,1,2,2,1,1,1,1,1,1,1,1,0,24.6,1266.4
216,1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,1,2,49.25,91.1
217,1,0,1,0,72,1,2,0,0,2,2,2,2,2,2,1,0,85.15,6316.2
218,1,0,1,1,66,1,2,0,0,0,2,0,2,0,2,1,0,63.3,4189.7
219,1,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,3,49.25,208.45
220,1,1,0,0,27,1,2,1,0,2,0,2,2,2,1,1,0,104.65,2964.0
221,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55,19.55
222,0,0,1,0,71,0,1,0,0,2,2,2,2,2,2,0,0,58.25,4145.9
223,0,0,0,0,26,0,1,0,0,0,2,0,2,2,0,1,1,50.35,1277.5
224,1,0,1,1,61,1,0,2,1,1,1,1,1,1,2,0,1,20.55,1305.95
225,0,0,1,1,4,1,2,1,0,0,0,0,0,2,0,1,2,85.95,381.3
226,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,45.35,141.5
227,1,1,1,0,33,1,2,1,0,0,0,0,2,2,0,1,2,94.5,3105.55
228,0,0,0,0,22,1,2,2,1,1,1,1,1,1,2,0,3,26.25,605.9
229,0,1,0,0,30,1,2,1,2,2,2,0,0,0,0,0,1,91.7,2758.15
230,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,20.35,92.75
231,1,0,1,1,25,1,0,1,0,2,0,0,0,0,0,1,2,75.5,1901.05
232,1,0,1,0,70,1,0,1,2,2,2,2,0,2,2,0,1,101.0,7085.5
233,0,0,0,0,47,1,2,0,2,0,2,2,0,0,2,1,3,65.0,2879.9
234,1,0,0,0,10,1,2,1,2,0,0,0,2,2,0,0,2,98.55,1008.55
235,0,0,1,1,61,1,2,2,1,1,1,1,1,1,2,1,3,24.1,1551.6
236,0,1,1,0,72,1,2,1,0,2,2,2,2,2,2,1,1,110.8,7882.25
237,1,0,1,0,48,1,0,2,1,1,1,1,1,1,2,0,3,19.25,855.1
238,1,0,1,1,70,1,0,0,2,2,2,0,2,2,2,1,1,80.15,5600.15
239,1,0,1,1,7,1,0,0,2,0,2,2,0,2,0,1,1,71.35,515.75
240,0,0,0,1,15,1,0,1,0,2,0,0,0,2,0,1,0,85.9,1269.55
241,0,0,1,1,72,1,2,1,2,2,0,2,0,0,2,1,0,90.35,6563.4
242,0,0,0,0,22,1,0,1,0,0,0,0,2,2,0,0,2,89.25,1907.85
243,1,0,0,0,22,1,2,1,0,2,0,0,0,0,0,1,3,78.85,1600.25
244,1,0,0,0,41,1,0,1,0,0,0,2,0,0,0,1,2,74.25,3089.1
245,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.9,19.9
246,1,0,1,0,33,1,0,1,0,0,2,0,2,2,1,1,2,95.8,3036.75
247,1,0,1,1,71,1,0,0,0,2,0,2,2,2,2,1,1,73.35,5154.5
248,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,3,44.8,220.45
249,1,0,1,1,27,1,0,0,2,2,0,0,0,0,0,1,1,54.75,1510.3
250,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,52.2,52.2
251,1,0,1,0,2,1,0,0,0,2,0,2,0,2,0,1,3,64.2,143.65
252,1,0,0,0,31,1,2,1,0,0,0,2,0,0,1,0,1,81.7,2548.65
253,1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75,6125.4
254,0,1,1,0,70,1,2,1,0,0,0,0,0,0,2,1,1,75.65,5411.4
255,0,0,0,0,10,1,2,1,0,0,0,2,2,2,0,1,2,98.5,1058.25
256,1,0,1,1,39,1,2,2,1,1,1,1,1,1,2,1,3,23.8,903.8
257,0,0,1,0,46,1,0,0,0,2,0,2,2,0,2,1,1,64.2,3009.5
258,1,0,1,0,71,1,2,1,2,0,2,2,2,2,2,1,1,108.55,7616.0
259,1,0,1,1,34,0,1,0,2,0,0,0,0,0,1,0,0,30.4,938.65
260,0,0,1,1,55,1,0,1,0,2,2,2,2,2,1,1,0,103.7,5656.75
261,1,0,1,0,70,1,2,1,2,2,0,2,0,0,2,1,1,88.0,5986.45
262,1,0,1,1,43,1,0,0,2,0,2,2,2,2,2,1,1,79.15,3566.6
263,1,0,0,0,5,1,0,0,0,0,2,2,2,0,0,1,1,63.95,318.1
264,0,0,1,1,16,1,0,1,0,2,2,0,2,0,0,1,1,89.45,1430.25
265,0,0,1,1,14,1,2,2,1,1,1,1,1,1,0,0,3,25.55,372.45
266,1,0,1,1,60,1,0,1,0,2,2,0,2,0,1,0,2,90.95,5453.4
267,1,0,1,1,34,0,1,0,0,0,2,2,2,0,0,1,2,44.85,1442.6
268,1,1,1,1,60,1,2,1,2,2,0,0,0,2,0,1,2,93.25,5774.55
269,1,0,0,0,44,1,0,2,1,1,1,1,1,1,2,0,1,20.4,905.55
270,0,0,1,1,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,229.6
271,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.9,89.9
272,0,0,0,0,65,1,0,0,2,2,2,2,2,2,2,1,0,84.85,5459.2
273,0,0,1,1,72,1,2,0,2,2,2,2,2,2,2,0,1,89.8,6510.45
274,1,0,0,1,52,1,2,0,2,2,0,2,2,2,2,1,3,85.15,4461.85
275,1,0,0,0,2,1,2,2,1,1,1,1,1,1,0,0,3,24.85,62.0
276,0,0,0,1,62,1,2,1,0,0,2,0,2,2,1,1,2,100.15,6413.65
277,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,50.8,50.8
278,1,0,0,0,26,1,0,2,1,1,1,1,1,1,1,0,1,19.8,457.3
279,0,0,0,0,3,1,0,1,0,2,0,0,2,2,0,1,2,95.1,307.4
280,1,0,0,0,22,1,2,1,0,0,0,0,2,2,0,1,1,94.65,2104.55
281,1,0,1,0,4,1,0,1,0,0,2,2,0,0,0,1,3,80.6,319.15
282,0,0,0,0,15,1,0,1,2,0,2,2,2,2,0,0,2,105.1,1582.75
283,0,0,0,1,51,0,1,0,2,0,2,2,2,2,1,0,0,60.15,3077.0
284,0,0,0,0,6,1,0,1,0,0,2,0,0,2,0,0,2,83.9,497.55
285,0,0,1,0,67,1,2,1,2,0,2,2,2,2,1,1,2,111.25,7511.65
286,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.05,20.05
287,1,0,1,1,37,1,0,1,0,0,0,0,2,2,1,0,1,91.2,3247.55
288,0,0,1,1,63,1,2,1,2,2,2,0,2,0,0,1,2,100.55,6215.35
289,1,1,0,0,32,1,2,1,0,0,2,0,0,0,0,1,1,81.1,2619.25
290,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,24.6,24.6
291,0,0,0,0,12,1,0,1,2,0,0,2,2,2,0,1,0,98.9,1120.95
292,1,0,1,0,50,1,2,1,2,2,0,0,0,2,0,1,1,94.4,4914.9
293,1,0,1,1,67,1,0,0,2,2,2,0,2,2,2,0,1,81.35,5398.6
294,1,0,1,1,72,1,2,2,1,1,1,1,1,1,2,1,0,25.2,1798.9
295,0,0,0,0,21,1,0,1,0,2,2,2,2,2,1,1,3,104.55,2239.4
296,1,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,20.45,255.35
297,1,0,1,0,16,1,2,1,0,0,0,0,0,0,0,1,2,75.4,1189.4
298,0,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,79.4,205.05
299,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,81.15,952.3
300,1,0,0,0,33,1,0,1,0,2,0,2,0,0,2,0,0,80.6,2651.1
301,1,0,1,0,72,1,0,2,1,1,1,1,1,1,2,0,1,19.3,1304.8
302,0,1,1,0,4,1,2,1,0,0,0,0,2,0,0,1,2,83.25,308.05
304,0,0,0,1,24,1,0,2,1,1,1,1,1,1,1,0,0,21.05,531.55
305,0,0,0,1,13,0,1,0,0,2,0,0,0,0,0,0,2,30.15,382.2
306,1,0,0,0,24,1,0,1,0,0,0,0,0,2,0,1,1,79.85,2001.0
307,0,0,1,1,54,1,2,1,2,2,0,0,2,2,0,1,0,104.1,5645.8
308,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,74.4,215.8
